antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.05904076074412593,0.03683700318515441,0.020080321285140562,0.34010946051602814,9.232821106715184,0.017905436593555257,1.4595799442253408,0.9476401369566394
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.03683700318515441,0.05904076074412593,0.020080321285140562,0.5451127819548872,9.232821106715184,0.017905436593555257,2.0685550218352273,0.9257942272573275
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.04463832340857683,0.04740802289618243,0.029220329594239026,0.6546018614270942,13.807828747901794,0.02710411493603802,2.757953418740694,0.9709174441902062
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04740802289618243,0.04463832340857683,0.029220329594239026,0.6163583252190847,13.807828747901793,0.02710411493603802,2.490244776292872,0.9737404257104335
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.03503669851821077,0.04740802289618243,0.020957392789549,0.5981554677206852,12.617178088834669,0.019296372183991023,2.37054855941573,0.9541740846765832
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04740802289618243,0.03503669851821077,0.020957392789549,0.442064264849075,12.617178088834669,0.019296372183991023,1.729524102306802,0.9665659559061491
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03406730369754882,0.04745418455430919,0.024004062225915154,0.7046070460704607,14.84815412356458,0.022387426108983973,3.2246734486188977,0.9655450785773367
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.04745418455430919,0.03406730369754882,0.024004062225915154,0.5058365758754864,14.84815412356458,0.022387426108983973,1.9546827003915743,0.9791146483756128
frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.040391450860914925,0.04745418455430919,0.023311637354013755,0.5771428571428571,12.162106725958864,0.021394893990443586,2.252642131121566,0.9564081143538635
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.04745418455430919,0.040391450860914925,0.023311637354013755,0.4912451361867704,12.162106725958866,0.021394893990443586,1.8861904178106683,0.9634994853980187
frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.040391450860914925,0.038175691270830446,0.02086506947329548,0.5165714285714286,13.531423043703576,0.019323097915248274,1.9895892911064383,0.9650788788971173
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.038175691270830446,0.040391450860914925,0.02086506947329548,0.5465538089480049,13.531423043703576,0.019323097915248274,2.1162567203680624,0.9628556217370549
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.038314176245210725,0.04080690578405576,0.024234870516548955,0.6325301204819278,15.50056561085973,0.022671387536316933,2.610263174423718,0.9727565926769114
frozenset({'SPACEBOY LUNCH BOX'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.04080690578405576,0.038314176245210725,0.024234870516548955,0.5938914027149321,15.500565610859729,0.022671387536316933,2.3680508863488403,0.9752845707318973
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03268245395374602,0.09527766237363246,0.02238840419147856,0.6850282485875706,7.18980956838786,0.019274496378131757,2.8723919956926824,0.8900016973042382
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'DOTCOM POSTAGE'}),0.09527766237363246,0.03268245395374602,0.02238840419147856,0.2349806201550388,7.189809568387861,0.019274496378131757,1.2644353483467183,0.951578425787556
frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.04177630060471772,0.03480589022757698,0.025111942020957394,0.6011049723756906,17.270208244793878,0.02365788068799533,2.4196694441663236,0.9831700251639339
frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.03480589022757698,0.04177630060471772,0.025111942020957394,0.7214854111405835,17.270208244793878,0.02365788068799533,3.4404793778287748,0.9760697968507791
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.033974980381295296,0.04500761667359091,0.027927803166689746,0.8220108695652174,18.263816889632107,0.026398670273195635,5.365453390291886,0.9784911500702758
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04500761667359091,0.033974980381295296,0.027927803166689746,0.6205128205128205,18.263816889632107,0.026398670273195635,2.545606470616857,0.9897952580008053
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.08789179707335087,0.04500761667359091,0.02220375755897152,0.25262605042016806,5.6129621848739495,0.018247957247541104,1.2777972578028693,0.9010344926636238
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04500761667359091,0.08789179707335087,0.02220375755897152,0.4933333333333334,5.61296218487395,0.018247957247541104,1.8002135584078605,0.8605733053238854
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04676175968240779,0.04500761667359091,0.033744172090661495,0.721618953603159,16.03326296605665,0.031639536735893106,3.430522284786002,0.9836257340934009
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.04500761667359091,0.04676175968240779,0.033744172090661495,0.7497435897435898,16.03326296605665,0.031639536735893106,3.8090462471707074,0.9818189969561449
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.05451691824770346,0.0423764021603656,0.02238840419147856,0.4106689246401355,9.690981388321628,0.020078173339270103,1.624933145184782,0.9485217596139229
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.0423764021603656,0.05451691824770346,0.02238840419147856,0.528322440087146,9.69098138832163,0.020078173339270103,2.0045114758628366,0.9364966343896058
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.050270045700041545,0.05151641046946406,0.02086506947329548,0.4150596877869605,8.05684410083237,0.01827533716469342,1.6215049120859555,0.9222431266888099
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.05151641046946406,0.050270045700041545,0.02086506947329548,0.4050179211469534,8.05684410083237,0.01827533716469342,1.5962328749981227,0.9234550099039069
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04269953376725292,0.09527766237363246,0.02677376171352075,0.6270270270270271,6.581049654305469,0.022705449951732907,2.4257048182735943,0.8858750054040392
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),0.09527766237363246,0.04269953376725292,0.02677376171352075,0.2810077519379845,6.581049654305469,0.022705449951732907,1.331447548722635,0.9373578173411381
frozenset({'JUMBO BAG APPLES'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.044499838434196554,0.09527766237363246,0.024973457046577115,0.5612033195020748,5.8901877472739566,0.02073361646456254,2.0618258474511078,0.8688916633528779
