antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Advance Hose Lines/Fire Attack'}),frozenset({'On-Scene Fire'}),0.14829322887520985,0.48740906547285956,0.14101846670397314,0.9509433962264151,1.9510170482854234,0.06873900260195423,10.448969049976327,0.5723176480403813
frozenset({'Collapse'}),frozenset({'On-Scene Fire'}),0.2165640738668159,0.48740906547285956,0.2165640738668159,1.0,2.0516647531572905,0.11100878100839583,inf,0.6542857142857141
frozenset({'Collapse'}),frozenset({'Search and Rescue'}),0.2165640738668159,0.23670956911024063,0.19529938444320089,0.9018087855297157,3.8097690301219904,0.14403659583342857,7.7735104409035936,0.9413876381498156
frozenset({'Search and Rescue'}),frozenset({'Collapse'}),0.23670956911024063,0.2165640738668159,0.19529938444320089,0.8250591016548463,3.8097690301219904,0.14403659583342857,4.478289145328876,0.9662336461948255
frozenset({'Store/Office'}),frozenset({'Collapse'}),0.3251259093452714,0.2165640738668159,0.20145495243424735,0.6196213425129088,2.8611455789937157,0.1310443609867823,2.059621145173665,0.9638681592039801
frozenset({'Collapse'}),frozenset({'Store/Office'}),0.2165640738668159,0.3251259093452714,0.20145495243424735,0.930232558139535,2.861145578993716,0.1310443609867823,9.673195299384457,0.8303035714285714
frozenset({'Collapse'}),frozenset({'Trauma'}),0.2165640738668159,0.4616675993284835,0.204252937884723,0.9431524547803618,2.042925377809099,0.10427232180183375,9.469756320903501,0.6516242661448142
frozenset({'On-Duty'}),frozenset({'Heart Attack'}),0.2098489087856743,0.3480693900391718,0.1315053161723559,0.6266666666666666,1.800407288317256,0.05846333449094043,1.746242705252218,0.5626393827979024
frozenset({'Heart Attack'}),frozenset({'Stress/Overexertion'}),0.3480693900391718,0.37548964745383323,0.34415221040850585,0.9887459807073954,2.6332176863250605,0.21345575785322646,55.49220561195885,0.9513842074043057
frozenset({'Stress/Overexertion'}),frozenset({'Heart Attack'}),0.37548964745383323,0.3480693900391718,0.34415221040850585,0.916542473919523,2.6332176863250605,0.21345575785322646,7.811525701494918,0.9931564530699069
frozenset({'Impact'}),frozenset({'Trauma'}),0.11639619473978735,0.4616675993284835,0.1085618354784555,0.9326923076923077,2.0202680652680653,0.05482548368196722,7.998081381405389,0.5715414297186656
frozenset({'On-Duty'}),frozenset({'Stress/Overexertion'}),0.2098489087856743,0.37548964745383323,0.14493564633463907,0.6906666666666668,1.839376055638351,0.06613955355613461,2.018891225903557,0.5775318013278354
frozenset({'Search and Rescue'}),frozenset({'On-Scene Fire'}),0.23670956911024063,0.48740906547285956,0.22160044767767206,0.9361702127659574,1.920707428487676,0.10622605780916641,8.030591307591855,0.6280158624366835
frozenset({'Store/Office'}),frozenset({'On-Scene Fire'}),0.3251259093452714,0.48740906547285956,0.225517627308338,0.693631669535284,1.4230996480591878,0.0670483116733456,1.6731198480913967,0.4405392392874337
frozenset({'Search and Rescue'}),frozenset({'Store/Office'}),0.23670956911024063,0.3251259093452714,0.19473978735310576,0.8226950354609929,2.5303890333369954,0.11777937344541141,3.8062898712926687,0.7923639902922439
frozenset({'Search and Rescue'}),frozenset({'Trauma'}),0.23670956911024063,0.4616675993284835,0.20033575825405708,0.8463356973995272,1.8332144136399455,0.09105461974485253,3.503301622831561,0.5954615082160586
frozenset({'Store/Office'}),frozenset({'Trauma'}),0.3251259093452714,0.4616675993284835,0.217123670956911,0.6678141135972461,1.4465258436342772,0.06702357290998939,1.620575776114772,0.4574015660528969
frozenset({'Street/Road'}),frozenset({'Trauma'}),0.217123670956911,0.4616675993284835,0.13262451035254616,0.6108247422680413,1.323083411433927,0.03238554642448148,1.383264711659261,0.3119135729861293
frozenset({'Vehicle Collision'}),frozenset({'Trauma'}),0.11583659764969222,0.4616675993284835,0.1119194180190263,0.9661835748792271,2.0928121797687016,0.05844141406771344,15.91925813414345,0.5905854430379747
"frozenset({'Collapse', 'Search and Rescue'})",frozenset({'On-Scene Fire'}),0.19529938444320089,0.48740906547285956,0.19529938444320089,1.0,2.0516647531572905,0.10010869398431561,inf,0.6369958275382476
"frozenset({'Collapse', 'On-Scene Fire'})",frozenset({'Search and Rescue'}),0.2165640738668159,0.23670956911024063,0.19529938444320089,0.9018087855297157,3.8097690301219904,0.14403659583342857,7.7735104409035936,0.9413876381498156
"frozenset({'Search and Rescue', 'On-Scene Fire'})",frozenset({'Collapse'}),0.22160044767767206,0.2165640738668159,0.19529938444320089,0.8813131313131313,4.06952600944849,0.14730868872341404,6.600864398909379,0.9690025316247097
frozenset({'Collapse'}),"frozenset({'Search and Rescue', 'On-Scene Fire'})",0.2165640738668159,0.22160044767767206,0.19529938444320089,0.9018087855297157,4.06952600944849,0.14730868872341404,7.927384914440542,0.9627732296356938
frozenset({'Search and Rescue'}),"frozenset({'Collapse', 'On-Scene Fire'})",0.23670956911024063,0.2165640738668159,0.19529938444320089,0.8250591016548463,3.8097690301219904,0.14403659583342857,4.478289145328876,0.9662336461948255
"frozenset({'Collapse', 'Store/Office'})",frozenset({'On-Scene Fire'}),0.20145495243424735,0.48740906547285956,0.20145495243424735,1.0,2.0516647531572905,0.10326398233339147,inf,0.641906096706377
"frozenset({'Store/Office', 'On-Scene Fire'})",frozenset({'Collapse'}),0.225517627308338,0.2165640738668159,0.20145495243424735,0.8933002481389579,4.1248773731894515,0.15261593633557538,7.342434377480779,0.97816112716763
"frozenset({'Collapse', 'On-Scene Fire'})",frozenset({'Store/Office'}),0.2165640738668159,0.3251259093452714,0.20145495243424735,0.930232558139535,2.861145578993716,0.1310443609867823,9.673195299384457,0.8303035714285714
frozenset({'Store/Office'}),"frozenset({'Collapse', 'On-Scene Fire'})",0.3251259093452714,0.2165640738668159,0.20145495243424735,0.6196213425129088,2.8611455789937157,0.1310443609867823,2.059621145173665,0.9638681592039801
frozenset({'Collapse'}),"frozenset({'Store/Office', 'On-Scene Fire'})",0.2165640738668159,0.225517627308338,0.20145495243424735,0.930232558139535,4.1248773731894515,0.15261593633557538,11.100914008580505,0.9669821428571428
"frozenset({'Trauma', 'Collapse'})",frozenset({'On-Scene Fire'}),0.204252937884723,0.48740906547285956,0.204252937884723,1.0,2.0516647531572905,0.10469820431024414,inf,0.6441631504922644
"frozenset({'Trauma', 'On-Scene Fire'})",frozenset({'Collapse'}),0.27196418578623394,0.2165640738668159,0.204252937884723,0.7510288065843621,3.4679288820833465,0.1453552658649846,3.146693058683698,0.9774841270676928
"frozenset({'Collapse', 'On-Scene Fire'})",frozenset({'Trauma'}),0.2165640738668159,0.4616675993284835,0.204252937884723,0.9431524547803618,2.042925377809099,0.10427232180183375,9.469756320903501,0.6516242661448142
frozenset({'Collapse'}),"frozenset({'Trauma', 'On-Scene Fire'})",0.2165640738668159,0.27196418578623394,0.204252937884723,0.9431524547803618,3.4679288820833465,0.1453552658649846,12.80681182276035,0.9083620352250489
"frozenset({'Collapse', 'Store/Office'})",frozenset({'Search and Rescue'}),0.20145495243424735,0.23670956911024063,0.19250139899272523,0.9555555555555555,4.036826897819806,0.14481508400689053,17.17403469501956,0.9420641775720735
"frozenset({'Store/Office', 'Search and Rescue'})",frozenset({'Collapse'}),0.19473978735310576,0.2165640738668159,0.19250139899272523,0.9885057471264367,4.5644955300127705,0.1503277572995792,68.15892557358644,0.9697706740792217
"frozenset({'Collapse', 'Search and Rescue'})",frozenset({'Store/Office'}),0.19529938444320089,0.3251259093452714,0.19250139899272523,0.9856733524355301,3.031666576251794,0.12900450903105778,47.10621152770015,0.8327922340459941
frozenset({'Collapse'}),"frozenset({'Store/Office', 'Search and Rescue'})",0.2165640738668159,0.19473978735310576,0.19250139899272523,0.8888888888888888,4.564495530012771,0.1503277572995792,7.247341913822044,0.9967857142857143
frozenset({'Search and Rescue'}),"frozenset({'Collapse', 'Store/Office'})",0.23670956911024063,0.20145495243424735,0.19250139899272523,0.8132387706855791,4.036826897819805,0.14481508400689053,4.275753862282446,0.9855759394394054
"frozenset({'Trauma', 'Collapse'})",frozenset({'Search and Rescue'}),0.204252937884723,0.23670956911024063,0.19306099608282037,0.9452054794520548,3.9931021082288933,0.14471237116662683,13.93005036373811,0.9419678346480765
"frozenset({'Trauma', 'Search and Rescue'})",frozenset({'Collapse'}),0.20033575825405708,0.2165640738668159,0.19306099608282037,0.9636871508379888,4.449893898055519,0.1496754681341242,21.574620119667692,0.9695013235159886
"frozenset({'Collapse', 'Search and Rescue'})",frozenset({'Trauma'}),0.19529938444320089,0.4616675993284835,0.19306099608282037,0.9885386819484241,2.141234696535556,0.10289759811659724,46.9695019585899,0.6623329503537522
frozenset({'Collapse'}),"frozenset({'Trauma', 'Search and Rescue'})",0.2165640738668159,0.20033575825405708,0.19306099608282037,0.8914728682170543,4.449893898055519,0.1496754681341242,7.368334798944762,0.9895838509316771
frozenset({'Search and Rescue'}),"frozenset({'Trauma', 'Collapse'})",0.23670956911024063,0.204252937884723,0.19306099608282037,0.8156028368794326,3.993102108228893,0.14471237116662683,4.315397529163617,0.9820221853882443
"frozenset({'Trauma', 'Store/Office'})",frozenset({'Collapse'}),0.217123670956911,0.2165640738668159,0.19809736989367654,0.9123711340206185,4.212938543914329,0.15107618317832983,8.940386451166923,0.9741461818974813
"frozenset({'Trauma', 'Collapse'})",frozenset({'Store/Office'}),0.204252937884723,0.3251259093452714,0.19809736989367654,0.96986301369863,2.9830382194138587,0.13168944772746274,22.393549371725012,0.8354052937296876
"frozenset({'Collapse', 'Store/Office'})",frozenset({'Trauma'}),0.20145495243424735,0.4616675993284835,0.19809736989367654,0.9833333333333333,2.129959595959596,0.10509214563052374,32.29994404029089,0.6643426413122231
